Start,Length,Vib,Press,Delay,Block,FN,FP
1090206,3000,0,0,NaN,1,0,0
1093206,3000,0,0,NaN,1,0,0
1096206,3000,0,0,NaN,1,0,0
1099206,3000,0,0,NaN,1,0,0
1102206,3000,0,0,NaN,1,0,0
1105206,3000,0,0,NaN,1,0,0
1108206,3000,0,0,NaN,1,0,0
1111206,3000,0,0,NaN,1,0,0
1114206,3000,0,0,NaN,1,0,0
1117206,3000,0,1,NaN,1,0,1
1120206,3000,0,0,NaN,1,0,0
1123206,3000,0,0,NaN,1,0,0
1126206,3000,0,0,NaN,1,0,0
1129206,3000,0,0,NaN,1,0,0
1132206,3000,0,0,NaN,1,0,0
1135206,3000,0,0,NaN,1,0,0
1138206,3000,1,1,1272,5,0,0
1141206,3000,0,0,NaN,5,0,0
1144206,3000,0,0,NaN,5,0,0
1147206,3000,0,0,NaN,5,0,0
1150206,963,0,0,NaN,5,0,0
1151169,3000,1,1,572,5,0,0
1154169,3000,0,0,NaN,5,0,0
1157169,3000,0,0,NaN,5,0,0
1160169,3000,0,0,NaN,5,0,0
1163169,944,0,0,NaN,5,0,0
1164113,3000,1,1,620,5,0,0
1167113,3000,0,0,NaN,5,0,0
1170113,3000,0,0,NaN,5,0,0
1173113,3000,0,0,NaN,5,0,0
1176113,975,0,0,NaN,5,0,0
1177088,3000,1,1,594,5,0,0
1180088,3000,0,0,NaN,5,0,0
1183088,3000,0,0,NaN,5,0,0
1186088,3000,0,0,NaN,5,0,0
1189088,938,0,0,NaN,5,0,0
1190026,3000,1,1,550,5,0,0
1193026,3000,0,0,NaN,5,0,0
1196026,3000,0,0,NaN,5,0,0
1199026,3000,0,0,NaN,5,0,0
1202026,952,0,0,NaN,5,0,0
1202978,3000,1,1,605,5,0,0
1205978,3000,0,0,NaN,5,0,0
1208978,3000,0,0,NaN,5,0,0
1211978,3000,0,0,NaN,5,0,0
1214978,964,0,0,NaN,5,0,0
1215942,3000,1,1,545,5,0,0
1218942,3000,0,0,NaN,5,0,0
1221942,3000,0,0,NaN,5,0,0
1224942,3000,0,0,NaN,5,0,0
1227942,3000,0,0,NaN,5,0,0
1230942,3000,0,0,NaN,5,0,0
1233942,1953,0,0,NaN,5,0,0
1235895,3000,1,1,524,5,0,0
1238895,3000,0,0,NaN,5,0,0
1241895,3000,0,0,NaN,5,0,0
1244895,3000,0,0,NaN,5,0,0
1247895,3000,0,0,NaN,5,0,0
1250895,3000,0,0,NaN,5,0,0
1253895,1941,0,0,NaN,5,0,0
1255836,3000,1,1,754,5,0,0
1258836,3000,0,0,NaN,5,0,0
1261836,3000,0,0,NaN,5,0,0
1264836,3000,0,0,NaN,5,0,0
1267836,3000,0,0,NaN,5,0,0
1270836,3000,0,0,NaN,5,0,0
1273836,1974,0,0,NaN,5,0,0
1275810,3000,1,1,891,5,0,0
1278810,3000,0,0,NaN,5,0,0
1281810,3000,0,0,NaN,5,0,0
1284810,3000,0,0,NaN,5,0,0
1287810,3000,0,0,NaN,5,0,0
1290810,3000,0,0,NaN,5,0,0
1293810,1935,0,0,NaN,5,0,0
1295745,3000,1,1,714,5,0,0
1298745,3000,0,0,NaN,5,0,0
1301745,3000,0,0,NaN,5,0,0
1304745,3000,0,0,NaN,5,0,0
1307745,3000,0,0,NaN,5,0,0
1310745,3000,0,0,NaN,5,0,0
1313745,1876,0,0,NaN,5,0,0
1315621,3000,1,1,848,5,0,0
1318621,3000,0,0,NaN,5,0,0
1321621,3000,0,0,NaN,5,0,0
1324621,3000,0,0,NaN,5,0,0
1327621,3000,0,0,NaN,5,0,0
1330621,3000,0,0,NaN,5,0,0
1333621,1981,0,0,NaN,5,0,0
1335602,3000,1,1,826,5,0,0
1338602,3000,0,0,NaN,5,0,0
1341602,3000,0,0,NaN,5,0,0
1344602,3000,0,0,NaN,5,0,0
1347602,3000,0,0,NaN,5,0,0
1350602,3000,0,0,NaN,5,0,0
1353602,2044,0,0,NaN,5,0,0
1355646,3000,1,1,788,5,0,0
1358646,2943,0,0,NaN,5,0,0
1361589,3000,1,1,664,5,0,0
1364589,2956,0,0,NaN,5,0,0
1367545,3000,1,1,522,5,0,0
1370545,2923,0,0,NaN,5,0,0
1373468,3000,1,1,674,5,0,0
1376468,2999,0,0,NaN,5,0,0
1379467,3000,1,1,417,5,0,0
1382467,2922,0,0,NaN,5,0,0
1385389,3000,1,1,435,5,0,0
1388389,2928,0,1,NaN,5,0,1
1391317,3000,1,1,513,5,0,0
1394317,2979,0,0,NaN,5,0,0
1397296,3000,1,1,546,5,0,0
1400296,2920,0,0,NaN,5,0,0
1403216,3000,1,1,580,5,0,0
1406216,3000,0,0,NaN,5,0,0
1409216,3000,0,0,NaN,5,0,0
1412216,3000,0,0,NaN,5,0,0
1415216,3000,0,0,NaN,5,0,0
1418216,1953,0,0,NaN,5,0,0
1420169,3000,1,1,706,5,0,0
1423169,3000,0,0,NaN,5,0,0
1426169,3000,0,0,NaN,5,0,0
1429169,3000,0,0,NaN,5,0,0
1432169,3000,0,0,NaN,5,0,0
1435169,1939,0,0,NaN,5,0,0
1437108,3000,1,1,587,5,0,0
1440108,3000,0,0,NaN,5,0,0
1443108,3000,0,0,NaN,5,0,0
1446108,3000,0,0,NaN,5,0,0
1449108,3000,0,0,NaN,5,0,0
1452108,1958,0,0,NaN,5,0,0
1454066,3000,1,1,761,5,0,0
1457066,3000,0,1,NaN,5,0,1
1460066,3000,0,0,NaN,5,0,0
1463066,3000,0,0,NaN,5,0,0
1466066,3000,0,0,NaN,5,0,0
1469066,1938,0,0,NaN,5,0,0
1471004,3000,1,1,749,5,0,0
1474004,3000,0,0,NaN,5,0,0
1477004,3000,0,0,NaN,5,0,0
1480004,3000,0,0,NaN,5,0,0
1483004,3000,0,0,NaN,5,0,0
1486004,1902,0,0,NaN,5,0,0
1487906,3000,1,1,811,5,0,0
1490906,3000,0,0,NaN,5,0,0
1493906,3000,0,0,NaN,5,0,0
1496906,3000,0,0,NaN,5,0,0
1499906,3000,0,0,NaN,5,0,0
1502906,2030,0,0,NaN,5,0,0
1504936,3000,1,1,717,5,0,0
1507936,3000,0,0,NaN,5,0,0
1510936,3000,0,0,NaN,5,0,0
1513936,3000,0,0,NaN,5,0,0
